age_group,Low education,Medium education,Tertiary education
16-24,7.626470588235295,7.56764705882353,7.717647058823529
25-34,6.670588235294118,7.261764705882353,7.685294117647059
35-49,6.652941176470588,7.185294117647059,7.608823529411764
50-64,6.555882352941176,7.091176470588235,7.538235294117648
65+,6.702941176470588,7.129411764705883,7.485294117647059
