,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
"C(country, Treatment(reference='AT'))[T.NO]",-0.0066666666666659324,0.12662140283739182,-0.05265039335591091,0.9580332218926126,-0.25549190741077477,0.24215857407744287
"C(country, Treatment(reference='AT'))[T.PL]",0.046666666666671144,0.12662140283739187,0.3685527534914521,0.7126299376478347,-0.20215857407743776,0.2954919074107801
"C(country, Treatment(reference='AT'))[T.PT]",-0.04666666666666508,0.12662140283739184,-0.3685527534914043,0.7126299376478704,-0.2954919074107739,0.20215857407744378
"C(country, Treatment(reference='AT'))[T.RO]",0.3000000000000075,0.12662140283739198,2.369267701016308,0.01823353174366156,0.05117475925589837,0.5488252407441165
"C(country, Treatment(reference='AT'))[T.RS]",-0.960000000000008,0.12662140283739193,-7.581656643252062,1.8870565183276453e-13,-1.208825240744117,-0.711174759255899
"C(country, Treatment(reference='AT'))[T.SE]",-0.13999999999999496,0.12662140283739187,-1.1056582604742105,0.2694498895510288,-0.38882524074410385,0.10882524074411395
"C(country, Treatment(reference='AT'))[T.SI]",0.19999999999999307,0.12662140283739187,1.5795118006774458,0.11490309425702389,-0.048825240744115844,0.448825240744102
"C(country, Treatment(reference='AT'))[T.SK]",-0.3333333333333264,0.1266214028373919,-2.6325196677957785,0.008759261702199131,-0.5821585740774353,-0.08450809258921743
"C(country, Treatment(reference='AT'))[T.TR]",-1.6266666666666625,0.1266214028373919,-12.846695978843634,1.6373304443918582e-32,-1.8754919074107714,-1.3778414259225535
"C(education, Treatment(reference='ED0-2'))[T.ED3_4]:C(age_group, Treatment(reference='Y16-24'))[T.Y25-34]",0.6500000000000128,0.1189400973420794,5.464935833460526,7.586926274009121e-08,0.4162693850164057,0.8837306149836199
"C(education, Treatment(reference='ED0-2'))[T.ED5-8]:C(age_group, Treatment(reference='Y16-24'))[T.Y25-34]",0.9235294117647244,0.11894009734207935,7.764659962473333,5.321329994700659e-14,0.6897987967811174,1.1572600267483313
"C(education, Treatment(reference='ED0-2'))[T.ED3_4]:C(age_group, Treatment(reference='Y16-24'))[T.Y35-49]",0.5911764705882541,0.1189400973420794,4.970371504640629,9.431589206442599e-07,0.357445855604647,0.8249070855718612
"C(education, Treatment(reference='ED0-2'))[T.ED5-8]:C(age_group, Treatment(reference='Y16-24'))[T.Y35-49]",0.8647058823529611,0.11894009734207946,7.270095633653391,1.5455086462787909e-12,0.6309752673693538,1.0984364973365683
"C(education, Treatment(reference='ED0-2'))[T.ED3_4]:C(age_group, Treatment(reference='Y16-24'))[T.Y50-64]",0.5941176470588406,0.11894009734207957,4.995099721081605,8.354166651433488e-07,0.3603870320752332,0.8278482620424481
"C(education, Treatment(reference='ED0-2'))[T.ED5-8]:C(age_group, Treatment(reference='Y16-24'))[T.Y50-64]",0.8911764705882644,0.11894009734207957,7.492649581622437,3.464444775415221e-13,0.657445855604657,1.124907085571872
"C(education, Treatment(reference='ED0-2'))[T.ED3_4]:C(age_group, Treatment(reference='Y16-24'))[T.Y_GE65]",0.48529411764705976,0.1189400973420794,4.080155712764574,5.3015576178766834e-05,0.2515635026634527,0.7190247326306669
"C(education, Treatment(reference='ED0-2'))[T.ED5-8]:C(age_group, Treatment(reference='Y16-24'))[T.Y_GE65]",0.6911764705882493,0.11894009734207944,5.811130863634497,1.1574379167714252e-08,0.4574458556046421,0.9249070855718564
