,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,7.914509803921576,0.1063832571629331,74.39619743734649,2.6283840283735083e-259,7.705454786511105,8.123564821332048
"C(education, Treatment(reference='ED0-2'))[T.ED3_4]",-0.05882352941179253,0.08410334938557232,-0.699419581283448,0.4846418367887293,-0.22409603223760302,0.10644897341401796
"C(education, Treatment(reference='ED0-2'))[T.ED5-8]",0.09117647058818446,0.08410334938557265,1.084100350988223,0.2788857227170862,-0.07409603223762667,0.2564489734139956
"C(age_group, Treatment(reference='Y16-24'))[T.Y25-34]",-0.9558823529412003,0.08410334938557297,-11.36556819585085,1.4523077599850247e-26,-1.1211548557670121,-0.7906098501153885
"C(age_group, Treatment(reference='Y16-24'))[T.Y35-49]",-0.9735294117647362,0.08410334938557344,-11.575394070235795,2.2000575630848017e-27,-1.1388019145905488,-0.8082569089389235
"C(age_group, Treatment(reference='Y16-24'))[T.Y50-64]",-1.0705882352941456,0.08410334938557341,-12.7294363793529,4.98896014157667e-32,-1.2358607381199582,-0.905315732468333
"C(age_group, Treatment(reference='Y16-24'))[T.Y_GE65]",-0.9235294117647184,0.08410334938557289,-10.980887426145015,4.396302821870405e-25,-1.0888019145905299,-0.7582569089389067
"C(country, Treatment(reference='AT'))[T.BE]",0.01999999999999158,0.12662140283739196,0.15795118006768344,0.874564280509859,-0.22882524074411748,0.26882524074410064
"C(country, Treatment(reference='AT'))[T.BG]",-1.1200000000000148,0.12662140283739187,-8.845266083794119,1.9435674631484374e-17,-1.3688252407441237,-0.8711747592559058
"C(country, Treatment(reference='AT'))[T.CH]",0.0400000000000027,0.12662140283739162,0.31590236013552203,0.7522192814016418,-0.20882524074410572,0.2888252407441111
"C(country, Treatment(reference='AT'))[T.CY]",-0.12666666666664148,0.12662140283739218,-1.0003574737622156,0.31766119207893556,-0.375491907410751,0.12215857407746802
"C(country, Treatment(reference='AT'))[T.CZ]",-0.09333333333331595,0.12662140283739187,-0.7371055069826963,0.46143235108765757,-0.3421585740774249,0.15549190741079297
"C(country, Treatment(reference='AT'))[T.DE]",-0.5199999999999791,0.12662140283739165,-4.106730681761344,4.746316642064485e-05,-0.7688252407440876,-0.27117475925587065
"C(country, Treatment(reference='AT'))[T.DK]",-0.07999999999999208,0.12662140283739198,-0.631804720270937,0.5278269869986487,-0.3288252407441012,0.16882524074411703
"C(country, Treatment(reference='AT'))[T.EA20]",-0.2933333333333264,0.12662140283739198,-2.316617307660277,0.020961162904017887,-0.5421585740774355,-0.044508092589217285
"C(country, Treatment(reference='AT'))[T.EE]",-0.4666666666666863,0.1266214028373922,-3.6855275349143133,0.0002552971022461185,-0.7154919074107959,-0.21784142592257677
"C(country, Treatment(reference='AT'))[T.EL]",-0.6666666666666652,0.12662140283739184,-5.265039335591657,2.1516310654293136e-07,-0.915491907410774,-0.41784142592255635
"C(country, Treatment(reference='AT'))[T.ES]",-0.24000000000000554,0.12662140283739187,-1.8954141608130444,0.05866145100179435,-0.4888252407441145,0.008825240744103374
"C(country, Treatment(reference='AT'))[T.EU27_2020]",-0.25333333333333163,0.12662140283739193,-2.00071494752482,0.04600774080860733,-0.5021585740774406,-0.004508092589222634
"C(country, Treatment(reference='AT'))[T.FI]",0.2333333333333263,0.12662140283739193,1.8427637674570274,0.0660039913098063,-0.015491907410782713,0.4821585740774353
"C(country, Treatment(reference='AT'))[T.FR]",-0.35333333333332906,0.126621402837392,-2.7904708478635474,0.005480954575960464,-0.6021585740774382,-0.10450809258921989
"C(country, Treatment(reference='AT'))[T.HR]",-0.17999999999999972,0.12662140283739176,-1.4215606206097493,0.1558285143849621,-0.42882524074410844,0.06882524074410898
"C(country, Treatment(reference='AT'))[T.HU]",-0.39999999999999436,0.1266214028373919,-3.1590236013549555,0.0016868020247935934,-0.6488252407441033,-0.15117475925588542
"C(country, Treatment(reference='AT'))[T.IE]",-0.06666666666666288,0.12662140283739176,-0.5265039335591374,0.5987907915494122,-0.3154919074107716,0.18215857407744582
"C(country, Treatment(reference='AT'))[T.IT]",-0.1999999999999936,0.126621402837392,-1.5795118006774482,0.1149030942570233,-0.4488252407441028,0.04882524074411557
"C(country, Treatment(reference='AT'))[T.LT]",-0.3066666666666702,0.12662140283739193,-2.4219180943721943,0.015822754330829365,-0.5554919074107791,-0.057841425922561196
"C(country, Treatment(reference='AT'))[T.LU]",-0.36666666666666425,0.1266214028373919,-2.895771634575398,0.0039616137525572736,-0.6154919074107732,-0.11784142592255531
"C(country, Treatment(reference='AT'))[T.LV]",-0.593333333333331,0.12662140283739182,-4.685885008676569,3.672556724831069e-06,-0.8421585740774399,-0.3445080925892222
"C(country, Treatment(reference='AT'))[T.MK]",-1.2333333333333298,0.12662140283739187,-9.740322770844559,1.6281996624183067e-20,-1.4821585740774388,-0.9845080925892209
"C(country, Treatment(reference='AT'))[T.MT]",0.04666666666666597,0.12662140283739198,0.3685527534914109,0.7126299376478655,-0.20215857407744314,0.2954919074107751
"C(country, Treatment(reference='AT'))[T.NL]",-0.006666666666660285,0.1266214028373919,-0.05265039335586627,0.9580332218926482,-0.2554919074107692,0.24215857407744865
